Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Balls before pitch,Strikes before pitch,Outs,1B occupied?,2B occupied,3B occupied,
Parker,Darius,T. Burton,4-seam fastball,TRUE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,T. Burton,Changeup,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,
,,T. Burton,Slider,FALSE,FALSE,1,1,0,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,FALSE,FALSE,2,1,0,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,FALSE,FALSE,3,1,0,FALSE,FALSE,FALSE,BB
,,Dom,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,FALSE,FALSE,
,,Dom,Slider,FALSE,FALSE,0,1,0,TRUE,FALSE,FALSE,
,,Dom,4-seam fastball,TRUE,TRUE,1,1,0,TRUE,FALSE,FALSE,
,,Dom,4-seam fastball,TRUE,TRUE,1,2,0,TRUE,FALSE,FALSE,
,,Horn,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,TRUE,FALSE,
,,Horn,4-seam fastball,TRUE,FALSE,0,1,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,0,2,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,TRUE,TRUE,1,2,0,FALSE,FALSE,FALSE,
,,Dex,4-seam fastball,TRUE,FALSE,0,0,1,FALSE,TRUE,TRUE,
,,Dex,Slider,FALSE,FALSE,0,1,1,FALSE,TRUE,TRUE,
,,Dex,Slider,FALSE,FALSE,1,1,1,FALSE,TRUE,TRUE,
,,Dex,4-seam fastball,TRUE,TRUE,2,1,1,FALSE,TRUE,TRUE,
,,Dex,4-seam fastball,TRUE,TRUE,2,2,1,FALSE,TRUE,TRUE,
,,Dex,4-seam fastball,FALSE,TRUE,2,2,,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,TRUE,TRUE,0,0,2,FALSE,FALSE,TRUE,
Dame,Patrick,Jax,Changeup,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,FALSE,TRUE,1,1,0,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,TRUE,TRUE,,,,FALSE,FALSE,FALSE,
,,Parker,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,
,,Parker,4-seam fastball,TRUE,TRUE,1,0,0,FALSE,TRUE,FALSE,
,,Parker,4-seam fastball,TRUE,FALSE,1,1,0,FALSE,TRUE,FALSE,
,,Parker,Curveball,TRUE,TRUE,1,2,0,FALSE,TRUE,FALSE,
,,T. Burton,4-seam fastball,FALSE,FALSE,0,0,1,FALSE,TRUE,FALSE,
,,T. Burton,4-seam fastball,TRUE,FALSE,1,0,1,FALSE,FALSE,TRUE,
,,T. Burton,4-seam fastball,FALSE,FALSE,1,1,1,FALSE,FALSE,TRUE,
,,T. Burton,Curveball,FALSE,FALSE,2,1,1,FALSE,FALSE,TRUE,
,,T. Burton,4-seam fastball,TRUE,TRUE,3,1,1,FALSE,FALSE,TRUE,
,,T. Burton,4-seam fastball,TRUE,TRUE,3,2,1,FALSE,FALSE,TRUE,
,,Dom,4-seam fastball,TRUE,FALSE,0,0,2,FALSE,FALSE,TRUE,
,,Dom,Changeup,TRUE,TRUE,0,1,2,FALSE,FALSE,TRUE,
